SUMLEV,REGION,DIVISION,STATE,NAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,NPOPCHG_2000,NPOPCHG_2001,NPOPCHG_2002,NPOPCHG_2003,NPOPCHG_2004,NPOPCHG_2005,NPOPCHG_2006,NPOPCHG_2007,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,BIRTHS2006,BIRTHS2007,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,DEATHS2006,DEATHS2007,NATURALINC2000,NATURALINC2001,NATURALINC2002,NATURALINC2003,NATURALINC2004,NATURALINC2005,NATURALINC2006,NATURALINC2007,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNATIONALMIG2006,INTERNATIONALMIG2007,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,INTERNALMIG2005,INTERNALMIG2006,INTERNALMIG2007,NETMIG2000,NETMIG2001,NETMIG2002,NETMIG2003,NETMIG2004,NETMIG2005,NETMIG2006,NETMIG2007,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005,RESIDUAL2006,RESIDUAL2007,RBIRTH2001,RBIRTH2002,RBIRTH2003,RBIRTH2004,RBIRTH2005,RBIRTH2006,RBIRTH2007,RDEATH2001,RDEATH2002,RDEATH2003,RDEATH2004,RDEATH2005,RDEATH2006,RDEATH2007,RNATURALINC2001,RNATURALINC2002,RNATURALINC2003,RNATURALINC2004,RNATURALINC2005,RNATURALINC2006,RNATURALINC2007,RINTERNATIONALMIG2001,RINTERNATIONALMIG2002,RINTERNATIONALMIG2003,RINTERNATIONALMIG2004,RINTERNATIONALMIG2005,RINTERNATIONALMIG2006,RINTERNATIONALMIG2007,RINTERNALMIG2001,RINTERNALMIG2002,RINTERNALMIG2003,RINTERNALMIG2004,RINTERNALMIG2005,RINTERNALMIG2006,RINTERNALMIG2007,RNETMIG2001,RNETMIG2002,RNETMIG2003,RNETMIG2004,RNETMIG2005,RNETMIG2006,RNETMIG2007
010,0,0,00,United States,281421906,281424602,282194308,285112030,287888021,290447644,293191511,295895897,298754819,301621157,769706,2917722,2775991,2559623,2743867,2704386,2858922,2866338,989020,4047314,4006985,4052799,4112637,4121160,4200658,4278899,560891,2419276,2429999,2422701,2449577,2433274,2431252,2450218,428129,1628038,1576986,1630098,1663060,1687886,1769406,1828681,341577,1289684,1199005,929525,1080807,1016500,1089516,1037657,0,0,0,0,0,0,0,0,341577,1289684,1199005,929525,1080807,1016500,1089516,1037657,0,0,0,0,0,0,0,0,14.268530876,13.985984794,14.015386722,14.093081195,13.991675748,14.1281525,14.25406469,8.5289933778,8.4816711474,8.3781829364,8.3941489498,8.2611645299,8.1770758349,8.1622786319,5.7395374983,5.5043136462,5.6372037855,5.6989322452,5.7305112181,5.9510766653,6.0917860577,4.5466934304,4.1850083535,3.2144827174,3.7036822864,3.4511007575,3.6643897693,3.4566906122,0,0,0,0,0,0,0,4.5466934304,4.1850083535,3.2144827174,3.7036822864,3.4511007575,3.6643897693,3.4566906122
040,3,6,01,Alabama,4447100,4447351,4451887,4463224,4471006,4488071,4508540,4539611,4590240,4627851,4536,11337,7782,17065,20469,31071,50629,37611,15077,62358,59559,58595,59549,60067,60898,61795,10564,45163,45754,45883,46913,46548,47003,47190,4513,17195,13805,12712,12636,13519,13895,14605,1387,5164,4248,2475,4847,3818,4634,4077,-1481,-8779,-8445,5009,5214,16445,33453,18427,-94,-3615,-4197,7484,10061,20263,38087,22504,117,-2243,-1826,-3131,-2228,-2711,-1353,502,13.989281794,13.332766226,13.080588547,13.23809599,13.277187792,13.340414865,13.407331301,10.131786357,10.242404774,10.242796217,10.429038223,10.288952958,10.29655358,10.23856241,3.8574954367,3.0903614525,2.8377923306,2.8090577663,2.9882348338,3.0438612854,3.1687688915,1.1584824911,0.9509493264,0.5525122733,1.0775168561,0.8439293288,1.0151315722,0.8845649278,-1.969465103,-1.890481888,1.1181955463,1.1591031334,3.6349968076,7.3282685555,3.9980078305,-0.810982611,-0.939532562,1.6707078196,2.2366199895,4.4789261364,8.3434001278,4.8825727583
040,4,9,02,Alaska,626932,626931,627462,633277,642699,650967,661661,669411,677450,683478,531,5815,9422,8268,10694,7750,8039,6028,2430,9964,9867,9978,10306,10382,10811,11140,725,2989,3075,3099,3051,3163,2772,2838,1705,6975,6792,6879,7255,7219,8039,8302,493,956,-25,-1995,2116,666,1423,602,-1667,-2887,1955,2707,634,-847,-2215,-2805,-1174,-1931,1930,712,2750,-181,-792,-2203,0,771,700,677,689,712,792,-71,15.806602318,15.465808134,15.425929104,15.702849551,15.599456679,16.053623945,16.371182017,4.7416634212,4.8198398716,4.7910357078,4.6486894992,4.7525603423,4.1162376815,4.1706835336,11.064938897,10.645968263,10.634893396,11.054160051,10.846896336,11.937386263,12.200498483,1.5165708366,-0.03918569,-3.084258224,3.2240665291,1.0006971824,2.1130614072,0.8846904465,-4.579853562,3.064320959,4.1850060216,0.96600103,-1.272658429,-3.289129316,-4.122187213,-3.063282725,3.025135269,1.1007477973,4.1900675591,-0.271961246,-1.176067909,-3.237496767
040,4,8,04,Arizona,5130632,5130615,5167260,5301097,5444881,5579307,5744367,5952083,6165689,6338755,36645,133837,143784,134426,165060,207716,213606,173066,19878,85453,86175,89452,92030,95117,99042,103958,9482,40694,42540,42444,43580,44163,47278,47922,10396,44759,43635,47008,48450,50954,51764,56036,8923,34475,32569,26423,28134,27133,28649,27708,17363,56238,68570,62591,92324,131637,136229,90402,26286,90713,101139,89014,120458,158770,164878,118110,-37,-1635,-990,-1596,-3848,-2008,-3036,-1080,16.325962135,16.038558798,16.22831541,16.2544418,16.264251119,16.34656932,16.627368638,7.7746679828,7.9173808098,7.7001589596,7.6971484697,7.551522043,7.8030845934,7.6647950121,8.5512941525,8.1211779886,8.5281564502,8.5572933308,8.7127290759,8.5434847264,8.9625736258,6.5865159165,6.0616167277,4.7936410373,4.9690586289,4.639527378,4.7284269749,4.4317044404,10.744379467,12.761984065,11.355212738,16.30636841,22.5088809,22.484166231,14.459179473,17.330895383,18.823600793,16.148853775,21.275427039,27.148408278,27.212593206,18.890883913
040,3,7,05,Arkansas,2673400,2673398,2678397,2690254,2703310,2720006,2742898,2772152,2809111,2834797,4999,11857,13056,16696,22892,29254,36959,25686,9090,37349,37499,37400,37984,38982,40106,40818,6469,28421,27847,27763,28428,27977,26884,27137,2621,8928,9652,9637,9556,11005,13222,13681,1111,4493,4024,2945,3816,3415,3789,3526,1292,-278,447,5346,11070,15529,21253,8323,2403,4215,4471,8291,14886,18944,25042,11849,-25,-1286,-1067,-1232,-1550,-695,-1305,156,13.913737362,13.905091327,13.792299766,13.906156872,14.136589877,14.371657455,14.464445558,10.587762177,10.326010779,10.238385519,10.407651315,10.145692242,9.6336617715,9.6163863762,3.3259751845,3.5790805486,3.5539142473,3.4985055568,3.9908976347,4.7379956831,4.8480591817,1.673791051,1.4921487907,1.0860514121,1.3970591466,1.2384293887,1.3577571958,1.2494888294,-0.103564191,0.1657531087,1.9714875548,4.0527895054,5.6314992611,7.6158389239,2.9493747949,1.5702268596,1.6579018994,3.0575389669,5.4498486519,6.8699286498,8.9735961197,4.1988636243
040,4,9,06,California,33871648,33871655,34004051,34525902,34963856,35376833,35721991,35990312,36249872,36553215,132396,521851,437954,412977,345158,268321,259560,303343,128766,530871,527276,538274,540532,548148,561089,569897,53765,233502,234546,234607,239869,231839,243387,240941,75001,297369,292730,303667,300663,316309,317702,328956,75619,290231,275725,225562,235684,230063,240732,233810,-19583,-40508,-112717,-93600,-159242,-250345,-284962,-263035,56036,249723,163008,131962,76442,-20282,-44230,-29225,1359,-25241,-17784,-22652,-31947,-27706,-13912,3612,15.493108539,15.17564646,15.304769051,15.205089749,15.287418673,15.533985905,15.655847121,6.8145968231,6.7505199831,6.6705914695,6.7474815055,6.4658082449,6.7382718737,6.6189775717,8.6785117159,8.4251264769,8.6341775811,8.457608244,8.8216104285,8.7957140309,9.0368695492,8.4701940478,7.9357018339,6.4134145743,6.6297580393,6.416276995,6.6647670776,6.4230792851,-1.182198388,-3.244132754,-2.661333044,-4.479455244,-6.9819261,-7.889293305,-7.225929857,7.2879956594,4.6915690799,3.7520815299,2.1503027954,-0.565649105,-1.224526228,-0.802850571
040,4,8,08,Colorado,4301261,4302019,4328252,4433997,4507762,4555212,4609264,4673724,4766248,4861515,26233,105745,73765,47450,54052,64460,92524,95267,16414,66632,67388,68585,68535,69143,70423,72760,6568,28057,28888,28975,29138,29200,28423,29314,9846,38575,38500,39610,39397,39943,42000,43446,6238,23007,21179,16122,19460,17944,19399,18381,10094,44805,14321,-7364,-3242,8758,31756,33438,16332,67812,35500,8758,16218,26702,51155,51819,55,-642,-235,-918,-1563,-2185,-631,2,15.208880734,15.072649576,15.135208376,14.95666528,14.896712136,14.920171373,15.114622161,6.4040636143,6.461368507,6.3941483226,6.35890148,6.2910778297,6.0218398953,6.0894727051,8.8048171194,8.611281069,8.7410600538,8.5977638001,8.6056343065,8.8983314781,9.0251494558,5.2513915092,4.7370992665,3.5577725369,4.2468330977,3.8659965951,4.1099698177,3.8183324621,10.226826469,3.203172888,-1.625073624,-0.707514538,1.8868924532,6.7279860576,6.9461618447,15.478217978,7.9402721545,1.9326989132,3.5393185601,5.7528890482,10.837955875,10.764494307
040,1,1,09,Connecticut,3405565,3405602,3411990,3429770,3451867,3472964,3481890,3486490,3495753,3502309,6388,17780,22097,21097,8926,4600,9263,6556,10828,42858,42142,42700,42628,41907,41615,41862,6898,30431,29585,29892,29810,29701,29034,29179,3930,12427,12557,12808,12818,12206,12581,12683,4161,15455,14699,12099,12670,12486,13258,12867,-1952,-7149,-2683,142,-14347,-17349,-15349,-19377,2209,8306,12016,12241,-1677,-4863,-2091,-6510,249,-2953,-2476,-3952,-2215,-2743,-1227,383,12.528355277,12.247667234,12.332430929,12.258488819,12.02775968,11.920238239,11.963883715,8.8956642735,8.5982448653,8.6332792815,8.572430133,8.5245064133,8.3165252198,8.3391659005,3.6326910035,3.6494223685,3.6991516472,3.6860586865,3.5032532669,3.6037130189,3.6247178147,4.5178433619,4.2719486657,3.4943813069,3.6434984832,3.5836162781,3.7976335112,3.6773038021,-2.089813147,-0.779756328,0.0410118312,-4.125751597,-4.979349576,-4.396581442,-5.537818899,2.4280302144,3.4921923374,3.5353931381,-0.482253114,-1.395733298,-0.598947931,-1.860515097
040,3,5,10,Delaware,783600,783600,786463,795126,804875,815798,827671,840558,852747,864764,2863,8663,9749,10923,11873,12887,12189,12017,2696,10902,10820,11329,11290,11459,11942,12068,1624,7043,6891,6998,7109,7342,7164,7178,1072,3859,3929,4331,4181,4117,4778,4890,647,2292,2023,1356,2027,1760,1996,1823,1102,3202,4354,6002,6269,7663,5757,5224,1749,5494,6377,7358,8296,9423,7753,7047,42,-690,-557,-766,-604,-653,-342,80,13.786135336,13.524991547,13.980611758,13.739230859,13.737922072,14.104960418,14.052893984,8.9062329088,8.6137446164,8.6359185351,8.6512127701,8.8021488657,8.461558904,8.3586073102,4.8799024272,4.9112469305,5.3446932231,5.0880180886,4.9357732062,5.6434015136,5.6942866741,2.8983509622,2.5287484195,1.6733788988,2.4667334766,2.1100220653,2.3575197616,2.1228393879,4.0490924001,5.4424965984,7.4067995209,7.6289847877,9.1869881173,6.7997200741,6.0832215922,6.9474433623,7.971245018,9.0801784197,10.095718264,11.297010183,9.1572398357,8.2060609801
040,3,5,11,District of Columbia,572059,572059,571799,577648,579190,577467,579621,582049,585459,588292,-260,5849,1542,-1723,2154,2428,3410,2833,1877,7615,7624,7479,7784,7913,8060,8157,1430,5919,5913,5678,5522,5468,5483,5500,447,1696,1711,1801,2262,2445,2577,2657,1103,4153,3888,3081,3454,3254,3492,3358,-1790,-4273,-7537,-10239,-7007,-6766,-2678,-3141,-687,-120,-3649,-7158,-3553,-3512,814,217,-20,4273,3480,3634,3445,3495,19,-41,13.24984971,13.18075651,12.932096551,13.454465002,13.62349032,13.807185904,13.899029692,10.298865454,10.222693238,9.8179494872,9.544650018,9.4140332452,9.3926551253,9.3716640071,2.9509842559,2.9580632725,3.1141470635,3.9098149838,4.2094570747,4.4145307784,4.5273656849,7.2260834993,6.7217708962,5.3274220447,5.970159573,5.602279477,5.981971858,5.7218268611,-7.434879555,-13.03034651,-17.70447073,-12.11143837,-11.64874706,-4.587548865,-5.352072118,-0.208796056,-6.308575617,-12.37704868,-6.141278796,-6.046467585,1.3944229932,0.3697547436
